trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
265,False,"{'a': 0.5, 'e': 0.07041924650516153}",20,1,31.804158859441117,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.06971505404010991}",20,8,27.675035321883758,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.06901790349970881}",35,18,33.78779398307031,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.06832772446471172}",25,19,11.873065605059233,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.0676444472200646}",20,12,16.892750614080338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06696800274786396}",30,14,-4.363824618822045,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.06629832272038531}",35,17,22.515308562369526,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.06563533949318147}",20,1,-10.735872474666547,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.06497898609824965}",20,3,16.888283360874535,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06432919623726716}",25,0,22.84525507393781,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
275,False,"{'a': 0.5, 'e': 0.06368590427489448}",20,11,-4.691121522607705,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.06304904523214554}",20,5,28.814884274334336,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.06241855477982408}",25,10,28.04000888797835,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.06179436923202584}",20,3,-20.787084361122538,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.06117642553970558}",25,8,22.76178020345437,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.06056466128430853}",20,8,-17.152269497539862,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
281,False,"{'a': 0.5, 'e': 0.05995901467146544}",30,13,31.085187249937754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.059359424524750785}",25,15,-4.940901401184618,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.05876583027950327}",20,9,-36.021372352785086,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.05817817197670824}",20,0,31.644849517557997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
285,False,"{'a': 0.5, 'e': 0.05759639025694116}",35,0,22.147814220171625,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
286,False,"{'a': 0.5, 'e': 0.057020426354371746}",25,3,40.8821618895984,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.05645022209082803}",20,0,29.096442714154335,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
288,False,"{'a': 0.5, 'e': 0.05588571986991975}",25,8,29.781497821414362,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.05532686267122055}",20,12,18.329664433831645,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.05477359404450834}",20,7,24.684277324972836,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.05422585810406326}",25,13,25.357790820253967,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.05368359952302263}",25,10,12.677708037766603,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.0531467635277924}",35,21,25.340737584705032,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.05261529589251448}",25,9,-0.8893925450084552,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.05208914293358933}",20,14,11.960184825606579,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.05156825150425344}",35,12,-22.51394618759284,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
297,False,"{'a': 0.5, 'e': 0.0510525689892109}",20,0,16.19996116841518,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
298,False,"{'a': 0.5, 'e': 0.050542043299318794}",20,9,23.054899961915016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.050036622866325604}",20,3,25.97220658724652,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.04953625663766235}",35,22,15.20357243696883,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.04904089407128572}",20,11,4.7360976422164365,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.04855048513057287}",20,13,15.099385194900616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.04806498027926714}",30,2,36.456196388579386,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.047584330476474465}",20,13,12.29184441672383,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.04710848717170972}",25,10,5.573692700710067,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.04663740229999262}",25,5,8.990865186538434,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.046171028276992696}",35,22,25.951506519255,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.045709317994222766}",25,8,26.727717427447946,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.04525222481428054}",30,16,24.282649445156878,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.04479970256613774}",25,7,32.5233056389804,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.044351705540476356}",20,0,33.18981374571991,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.5, 'e': 0.043908188485071595}",25,3,37.08829840524133,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.04346910660022087}",20,3,29.25236374872775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.04303441553421867}",25,11,25.903192665825372,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.04260407137887648}",25,14,23.62855311836091,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.04217803066508771}",25,0,43.122392294204985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
317,False,"{'a': 0.5, 'e': 0.04175625035843684}",25,3,36.68183311044298,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.04133868785485247}",20,8,14.214968981167662,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.040925300976303945}",20,16,6.641786448074911,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.0405160479665409}",20,0,30.76562539136508,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
321,False,"{'a': 0.5, 'e': 0.040110887486875496}",25,15,22.347767867548168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.03970977861200674}",25,8,28.823985089794565,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.039312680825886674}",30,17,25.4972750647166,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.038919554017627804}",25,0,22.67171659217482,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
325,False,"{'a': 0.5, 'e': 0.03853035847745152}",25,13,21.754568570298282,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.03814505489267701}",20,1,31.205360112057008,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.03776360434375024}",30,16,23.87495548325389,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.03738596830031274}",20,0,29.45658135618781,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
